# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Gross Wing B (T + D),0,MLEIZEOZLS,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,21,33
# x,y,z,u,w
7.849500524796999343e+02, 6.999999999999998579e+01, 1.494839010429047299e+01, 1.399999999999999911e+00, 3.124500000000000277e+00
8.482589763171708910e+02, 6.999999999999998579e+01, 1.423571413503561800e+01, 1.399999999999999911e+00, 3.249000000000000110e+00
9.115607775531377683e+02, 6.999999999999998579e+01, 1.304820266904601489e+01, 1.399999999999999911e+00, 3.373499999999999943e+00
9.748516146260574260e+02, 6.999999999999998579e+01, 1.138608628313223470e+01, 1.399999999999999911e+00, 3.498000000000000220e+00
1.038127998947645438e+03, 6.999999999999998579e+01, 9.249653800495751810e+00, 1.399999999999999911e+00, 3.622500000000000053e+00
1.101386751094095189e+03, 6.999999999999998579e+01, 6.639434459446261982e+00, 1.399999999999999911e+00, 3.746999999999999886e+00
1.164624493250578780e+03, 6.999999999999998579e+01, 3.556019459456693177e+00, 1.399999999999999911e+00, 3.871500000000000163e+00
1.227837847602267630e+03, 6.999999999999998579e+01, 0.000000000000000000e+00, 1.399999999999999911e+00, 4.000000000000000000e+00
1.214756771403401444e+03, 1.050000000000000142e+02, 0.000000000000000000e+00, 1.600000000000000089e+00, 0.000000000000000000e+00
1.159086061466651927e+03, 1.050000000000000142e+02, -3.131713700169478365e+00, 1.600000000000000089e+00, 1.285000000000000031e-01
1.103393873688381746e+03, 1.050000000000000142e+02, -5.847214306639937575e+00, 1.600000000000000089e+00, 2.530000000000000027e-01
1.047683182841112966e+03, 1.050000000000000142e+02, -8.145981162111818108e+00, 1.600000000000000089e+00, 3.775000000000000022e-01
9.919569636973672004e+02, 1.050000000000000142e+02, -1.002749360928556044e+01, 1.600000000000000089e+00, 5.020000000000000018e-01
9.362180163107459521e+02, 1.050000000000000142e+02, -1.149128555879240210e+01, 1.600000000000000089e+00, 6.265000000000000568e-01
8.804694130096909248e+02, 1.050000000000000142e+02, -1.253710264993851986e+01, 1.600000000000000089e+00, 7.510000000000000009e-01
8.247145369789825509e+02, 1.050000000000000142e+02, -1.316474181843676661e+01, 1.600000000000000089e+00, 8.754999999999999449e-01
7.689567714034014898e+02, 1.050000000000000142e+02, -1.337399999999999523e+01, 1.600000000000000089e+00, 1.000000000000000000e+00
7.131990058278204287e+02, 1.050000000000000142e+02, -1.316474181843677016e+01, 1.600000000000000089e+00, 1.124500000000000055e+00
6.574441297971120548e+02, 1.050000000000000142e+02, -1.253710264993852519e+01, 1.600000000000000089e+00, 1.249000000000000110e+00
6.016955264960571412e+02, 1.050000000000000142e+02, -1.149128555879240565e+01, 1.600000000000000089e+00, 1.373499999999999943e+00
5.459565791094358929e+02, 1.050000000000000142e+02, -1.002749360928556221e+01, 1.600000000000000089e+00, 1.497999999999999998e+00
4.902303599656899564e+02, 1.050000000000000142e+02, -8.145981162111816332e+00, 1.600000000000000089e+00, 1.622500000000000053e+00
4.345196691184214046e+02, 1.050000000000000142e+02, -5.847214306639937575e+00, 1.600000000000000089e+00, 1.746999999999999886e+00
3.788274813401513939e+02, 1.050000000000000142e+02, -3.131713700169477477e+00, 1.600000000000000089e+00, 1.871499999999999941e+00
3.231567714034016490e+02, 1.050000000000000142e+02, 0.000000000000000000e+00, 1.600000000000000089e+00, 2.000000000000000000e+00
3.788274813401512233e+02, 1.050000000000000142e+02, 3.131713700169466819e+00, 1.600000000000000089e+00, 2.128499999999999837e+00
4.345196691184213478e+02, 1.050000000000000142e+02, 5.847214306639933135e+00, 1.600000000000000089e+00, 2.253000000000000114e+00
4.902303599656899564e+02, 1.050000000000000142e+02, 8.145981162111814555e+00, 1.600000000000000089e+00, 2.377499999999999947e+00
5.459565791094357792e+02, 1.050000000000000142e+02, 1.002749360928555866e+01, 1.600000000000000089e+00, 2.501999999999999780e+00
6.016955264960570275e+02, 1.050000000000000142e+02, 1.149128555879240565e+01, 1.600000000000000089e+00, 2.626500000000000057e+00
6.574441297971118274e+02, 1.050000000000000142e+02, 1.253710264993852164e+01, 1.600000000000000089e+00, 2.750999999999999890e+00
7.131990058278202014e+02, 1.050000000000000142e+02, 1.316474181843677016e+01, 1.600000000000000089e+00, 2.875499999999999723e+00
7.689567714034014898e+02, 1.050000000000000142e+02, 1.337399999999999523e+01, 1.600000000000000089e+00, 3.000000000000000000e+00
8.247145369789828919e+02, 1.050000000000000142e+02, 1.316474181843677016e+01, 1.600000000000000089e+00, 3.124500000000000277e+00
8.804694130096912659e+02, 1.050000000000000142e+02, 1.253710264993851808e+01, 1.600000000000000089e+00, 3.249000000000000110e+00
9.362180163107461794e+02, 1.050000000000000142e+02, 1.149128555879240032e+01, 1.600000000000000089e+00, 3.373499999999999943e+00
9.919569636973672004e+02, 1.050000000000000142e+02, 1.002749360928555866e+01, 1.600000000000000089e+00, 3.498000000000000220e+00
1.047683182841112739e+03, 1.050000000000000142e+02, 8.145981162111825213e+00, 1.600000000000000089e+00, 3.622500000000000053e+00
1.103393873688381063e+03, 1.050000000000000142e+02, 5.847214306639950898e+00, 1.600000000000000089e+00, 3.746999999999999886e+00
