"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
90, 5.426121837500000e+01, 7.503439270400000e-02, 3.024106552300000e+00, 1.110125011863169e+00, -1.189283341651848e-02, 8.035036203460252e-01
88, 5.451451505000000e+01, 6.521483127900000e-02, 3.037441988700000e+00, 1.115178970182654e+00, -1.784916777549217e-03, 7.992884717813916e-01
494, 5.459006030500000e+01, 6.021886543400000e-02, 3.229306617500000e+00, 1.116078882269587e+00, 1.490739631737625e-05, 7.975123020131161e-01
84, 5.385760861800000e+01, 8.512200253600000e-02, 3.400000000000000e+00, 1.101982167131399e+00, -2.817852288005795e-02, 8.096865346154101e-01
57, 5.461989146600000e+01, 6.320787234000000e-02, 2.837850101100000e+00, 1.116807905935575e+00, 1.472954728293896e-03, 7.973747618355139e-01
58, 5.479038630800000e+01, 5.693911419600000e-02, 2.785024563400000e+00, 1.120664895040925e+00, 9.186932938993309e-03, 7.945832379580091e-01
59, 5.463733111500000e+01, 6.484476413900001e-02, 2.616104570200000e+00, 1.117688764601696e+00, 3.234672060534294e-03, 7.967010238595191e-01
526, 5.477176829700000e+01, 5.592895907200000e-02, 2.954526604500000e+00, 1.120265879627912e+00, 8.388902112966612e-03, 7.948029851969066e-01
611, 5.450897782300000e+01, 6.874635367900001e-02, 2.727429755900000e+00, 1.115143301278787e+00, -1.856254585283601e-03, 7.990335219008030e-01
89, 5.441145295800000e+01, 7.114488091300000e-02, 2.857396367700000e+00, 1.112946435673537e+00, -6.249985795782286e-03, 8.008209729350571e-01
328, 5.488065494600000e+01, 5.464017579500000e-02, 2.651917842100000e+00, 1.122455853894178e+00, 1.276885064549926e-02, 7.925234250619426e-01
